CATEGORY,ABBR,POINTS,WINNER,ORDER
PICTURE,P,5,whiplash,1
ACTOR,R,3,eddie redmayne,3
ACTRESS,S,3,reese witherspoon,11
SUPP_ACTOR,PR,3,robert duvall,4
SUPP_ACTRESS,PS,3,meryl streep,10
DIRECTOR,D,3,wes anderson,2
ORIGINAL_SCREENPLAY,OS,3,nightcrawler,11
ADAPTED_SCREENPLAY,AS,3,whiplash,12
FOREIGN,F,1,,
DOC_FEATURE,DF,1,,
ANIM_FEATURE,AF,1,,
CINEMATOGRAPHY,CT,1,,
EDITING,E,1,whiplash,8
PRODUCTION_DESIGN,PD,1,,
COSTUME,CO,1,,
MAKEUP,M,1,,
VISUAL_EFFECTS,VE,1,xmen,7
SONG,SO,1,,
SCORE,SC,1,,
SOUND_EDITING,SE,1,,
SOUND_MIXING,SM,1,whiplash,5
SHORT_LIVE,SL,1,,
DOC_SHORT,DS,1,crisis hotline: veterans press 1,9
SHORT_ANIM,SA,1,the bigger picture,6
